ad_budget,num_leads,leads_answered,leads_not_answered,followup_1,followup_2,followup_3,followup_4,followup_5,not_closed,closed,calls_to_closed,calls_to_not_closed,customer_acquisition_cost,ltv_months,purchased,upsell,cumulative_profit,referred
3000,37,28,9,22,16,13,12,8,5,3,3,5,1000,20.0,1,1,15417.0,Yes
4000,44,30,14,23,18,15,13,9,5,4,2,5,1000,34.0,0,0,0.0,No
2500,32,21,11,16,12,10,9,6,3,3,2,4,833,40.0,1,0,21339.0,No
800,19,9,10,7,5,4,3,2,1,1,5,5,800,10.0,1,0,2611.0,No
2000,33,20,13,14,9,8,7,5,3,2,2,3,1000,40.0,1,1,29794.0,Yes
7000,72,42,30,34,25,20,17,11,8,3,5,4,2333,12.0,1,0,4157.0,Yes
500,12,5,7,4,3,2,2,1,1,0,0,3,0,9.0,0,0,0.0,No
2000,30,17,13,14,10,8,8,5,3,2,2,4,1000,37.0,1,0,19102.0,No
2500,32,19,13,15,12,9,8,6,4,2,3,4,1250,27.0,1,1,19340.0,Yes
3000,37,25,12,19,13,11,10,7,4,3,2,4,1000,32.0,1,1,24146.0,No
12000,84,39,45,30,24,19,17,12,9,3,5,4,4000,14.0,1,1,8568.0,No
2500,37,25,12,19,15,12,10,8,5,3,2,4,833,36.0,1,0,18425.0,No
2500,34,24,10,19,14,11,11,8,5,3,3,5,833,29.0,1,1,18521.0,No
6000,62,37,25,29,22,17,16,11,6,5,5,2,1200,9.0,0,0,0.0,No
3000,40,29,11,23,17,14,13,9,4,5,3,6,600,27.0,1,0,13163.0,No
2000,34,17,17,13,10,8,8,6,3,3,2,4,666,33.0,1,1,24102.0,Yes
3000,35,25,10,19,14,11,10,7,4,3,2,4,1000,32.0,1,1,24266.0,Yes
1500,27,16,11,12,9,8,7,5,3,2,8,5,750,8.0,1,0,1953.0,No
1500,27,13,14,10,7,6,6,4,2,2,5,5,750,56.0,1,1,142808.0,Yes
3000,36,28,8,21,16,13,12,8,4,4,2,5,750,34.0,1,1,24452.0,Yes
2500,37,25,12,19,13,11,10,6,3,3,2,5,833,34.0,1,1,26443.0,No
12000,91,46,45,36,27,23,21,15,11,4,5,4,3000,13.0,1,0,4255.0,No
2500,34,21,13,16,12,9,8,6,4,2,3,5,1250,27.0,1,1,19857.0,Yes
4000,44,29,15,22,18,14,13,9,5,4,2,3,1000,33.0,1,1,22504.0,Yes
5000,50,33,17,27,20,17,15,10,6,4,2,4,1250,37.0,1,1,27363.0,No
500,14,7,7,5,4,3,3,2,2,0,0,5,0,1.0,0,0,0.0,No
5000,53,35,18,29,22,18,16,11,6,5,3,5,1000,29.0,1,0,14240.0,Yes
1500,26,15,11,11,9,8,7,5,4,1,5,5,1500,13.0,1,1,6015.0,No
15000,97,51,46,43,29,24,21,15,10,5,5,4,3000,13.0,1,0,4448.0,No
1500,24,12,12,9,6,5,4,3,2,1,8,4,1500,8.0,1,0,2275.0,No
2500,37,24,13,19,14,11,10,7,5,2,2,4,1250,35.0,1,1,,Yes
1000,18,7,11,5,3,3,2,2,0,2,6,0,500,5.0,1,1,2378.0,No
20000,118,66,52,54,44,35,31,21,15,6,5,3,3333,12.0,1,0,4282.0,Yes
3000,39,24,15,19,14,12,11,8,4,4,2,6,750,42.0,1,1,34326.0,No
4000,46,31,15,23,18,15,14,12,6,6,2,5,666,31.0,1,0,15557.0,No
800,17,9,8,6,5,4,3,2,1,1,5,4,800,11.0,1,0,3343.0,No
6000,60,34,26,27,21,16,14,9,6,3,5,5,2000,7.0,1,0,2237.0,Yes
1500,26,16,10,12,10,8,7,5,4,1,5,5,1500,15.0,1,1,6735.0,No
10000,83,50,33,39,29,24,23,17,13,4,5,3,2500,14.0,1,1,8013.0,No
1500,24,15,9,11,8,7,6,4,2,2,7,5,750,7.0,1,0,1931.0,No
1500,25,14,11,11,7,6,5,3,3,0,0,5,0,7.0,0,0,0.0,No
800,18,8,10,6,4,3,3,2,2,0,0,3,0,3.0,0,0,0.0,No
3000,41,29,12,24,19,14,12,8,4,4,3,2,750,29.0,1,1,22813.0,No
4000,42,27,15,21,18,15,13,10,5,5,2,3,800,37.0,1,1,25307.0,Yes
800,18,8,10,6,4,3,3,2,1,1,6,4,800,6.0,1,0,1613.0,No
7000,57,34,23,26,19,14,13,9,6,3,4,3,2333,17.0,1,0,5717.0,No
3000,39,26,13,19,15,11,10,7,5,2,3,4,1500,23.0,1,1,17803.0,Yes
3000,43,31,12,23,16,14,12,8,5,3,2,3,1000,36.0,1,1,25146.0,Yes
3000,36,21,15,16,12,10,9,6,3,3,3,4,1000,31.0,1,0,16318.0,No
2500,33,22,11,16,12,9,8,6,4,2,3,3,1250,25.0,1,0,14139.0,Yes
4000,48,33,15,27,21,15,14,10,6,4,3,4,1000,30.0,1,1,22198.0,Yes
1500,23,13,10,10,7,5,5,3,2,1,6,5,1500,6.0,1,0,1601.0,No
1500,24,15,9,11,9,7,6,5,4,1,6,3,1500,8.0,1,0,1860.0,No
10000,83,51,32,38,28,24,22,17,12,5,5,4,2000,12.0,1,0,3956.0,No
12000,86,46,40,36,26,20,18,12,9,3,4,3,4000,14.0,1,0,5572.0,No
2500,34,23,11,18,13,10,9,6,3,3,2,4,833,39.0,1,1,30862.0,Yes
2000,31,18,13,15,11,10,8,6,4,2,2,4,1000,38.0,1,1,26973.0,Yes
5000,54,35,19,27,20,17,15,11,7,4,3,4,1250,28.0,1,1,22136.0,Yes
2500,35,24,11,20,14,11,10,8,4,4,2,4,625,35.0,1,1,26022.0,Yes
500,13,6,7,4,3,2,2,1,1,0,0,5,0,3.0,0,0,0.0,No
1500,26,14,12,11,9,7,7,5,4,1,6,4,1500,7.0,1,0,1669.0,No
6000,58,34,24,27,22,19,17,13,9,4,4,3,1500,15.0,1,1,7874.0,No
5000,54,39,15,31,23,20,18,13,8,5,3,5,1000,31.0,1,1,25294.0,Yes
500,12,4,8,3,2,1,1,1,1,0,0,4,0,4.0,0,0,0.0,No
2000,30,17,13,13,10,8,7,5,3,2,2,5,1000,34.0,1,0,18296.0,Yes
2000,28,16,12,12,8,7,6,4,2,2,2,4,1000,33.0,1,0,16718.0,No
5000,52,31,21,24,18,14,13,9,6,3,2,3,1666,37.0,1,1,29524.0,No
500,12,6,6,4,3,3,2,2,1,1,7,6,500,5.0,1,0,1208.0,No
1000,18,9,9,7,5,4,4,3,3,0,0,3,0,6.0,0,0,0.0,No
7000,65,41,24,30,23,19,17,13,8,5,5,3,1400,13.0,1,1,7753.0,Yes
1500,26,12,14,9,6,5,4,3,2,1,5,5,1500,14.0,1,1,7114.0,Yes
5000,55,40,15,32,23,18,16,11,8,3,3,3,1666,33.0,1,1,24342.0,Yes
2000,29,15,14,12,9,7,7,5,3,2,2,4,1000,35.0,1,0,16759.0,No
1000,20,10,10,8,6,5,4,3,3,0,0,4,0,4.0,0,0,0.0,No
2000,31,18,13,14,10,8,7,5,3,2,2,4,1000,38.0,1,0,17312.0,No
6000,60,35,25,28,20,15,14,10,7,3,5,4,2000,13.0,1,0,4757.0,No
8000,66,42,24,35,27,23,21,15,10,5,5,6,1600,16.0,1,1,10110.0,No
8000,70,42,28,34,25,19,17,13,10,3,4,4,2666,21.0,1,0,7108.0,No
2500,35,20,15,15,11,9,8,6,3,3,2,3,833,35.0,1,1,24829.0,Yes
5000,53,38,15,28,19,16,14,10,6,4,3,5,1250,34.0,0,0,0.0,No
1500,22,12,10,9,7,5,5,3,2,1,7,3,1500,5.0,1,0,1330.0,No
2000,30,16,14,12,8,7,6,4,1,3,1,4,666,35.0,1,0,18792.0,Yes
10000,91,54,37,45,34,27,24,16,10,6,5,3,1666,15.0,1,1,9035.0,No
500,13,6,7,4,3,2,2,1,1,0,0,4,0,5.0,0,0,0.0,No
1000,19,9,10,7,5,4,4,3,2,1,6,4,1000,10.0,1,0,2649.0,No
1500,26,15,11,11,8,7,6,4,3,1,6,4,1500,5.0,1,0,1212.0,No
500,13,5,8,4,2,2,2,1,1,0,0,4,0,2.0,0,0,0.0,No
1500,27,14,13,10,8,7,6,4,2,2,5,5,750,11.0,1,0,3172.0,No
4000,42,28,14,22,16,12,11,8,5,3,2,5,1333,34.0,1,1,25821.0,Yes
2500,36,27,9,20,15,12,10,7,4,3,3,3,833,29.0,1,1,22177.0,Yes
10000,83,51,32,39,28,22,19,15,13,2,6,3,5000,6.0,1,0,2423.0,No
7000,64,42,22,33,25,20,18,12,8,4,5,5,1750,13.0,0,0,0.0,No
2500,35,23,12,18,12,10,9,7,5,2,2,3,1250,33.0,1,1,25540.0,No
2000,32,17,15,13,10,8,7,5,2,3,3,4,666,29.0,1,1,21079.0,Yes
2500,36,24,12,19,13,10,9,6,4,2,2,5,1250,38.0,1,1,28539.0,Yes
4000,43,28,15,23,16,13,11,8,4,4,2,2,1000,38.0,1,1,28476.0,Yes
2000,32,19,13,15,10,8,7,5,3,2,2,4,1000,39.0,1,0,22482.0,No
4000,46,33,13,27,22,17,15,11,6,5,2,5,800,36.0,1,0,17851.0,Yes
2500,35,24,11,19,15,12,11,7,3,4,2,4,625,36.0,1,0,18995.0,Yes
4000,46,33,13,25,17,14,12,9,5,4,2,4,1000,39.0,1,0,20315.0,Yes
2500,34,21,13,16,13,10,9,6,4,2,2,5,1250,39.0,1,0,21202.0,No
2000,32,18,14,14,11,9,9,6,4,2,2,5,1000,40.0,1,0,20257.0,Yes
12000,89,46,43,35,27,22,20,14,10,4,5,3,3000,13.0,1,0,4446.0,No
6000,55,34,21,28,20,16,14,10,7,3,4,6,2000,17.0,1,0,5704.0,Yes
1500,25,14,11,11,7,6,5,4,3,1,5,2,1500,13.0,1,1,5952.0,No
10000,81,52,29,41,31,24,22,15,11,4,4,2,2500,16.0,1,0,5432.0,No
3000,41,26,15,20,15,13,12,9,5,4,3,4,750,26.0,1,0,11449.0,No
10000,83,51,32,43,32,25,22,14,9,5,5,4,2000,13.0,1,0,4835.0,No
7000,61,39,22,32,23,18,16,11,8,3,4,4,2333,14.0,1,0,4237.0,No
2500,40,23,17,19,14,12,10,7,3,4,3,3,625,30.0,1,0,16992.0,No
500,13,7,6,5,4,3,3,2,1,1,7,3,500,5.0,1,0,1242.0,No
2000,32,18,14,13,11,9,8,7,4,3,2,4,666,39.0,1,1,30937.0,Yes
4000,45,26,19,21,16,13,12,8,6,2,1,3,2000,35.0,1,0,17857.0,No
5000,54,37,17,30,21,16,15,11,6,5,2,5,1000,33.0,1,0,15640.0,No
2000,32,18,14,13,10,8,7,5,3,2,3,4,1000,27.0,1,0,13792.0,No
1500,27,15,12,11,8,6,5,4,2,2,5,4,750,11.0,1,0,2665.0,No
8000,74,48,26,38,27,23,20,14,10,4,5,4,2000,13.0,0,0,0.0,No
20000,128,74,54,57,45,36,32,24,17,7,5,5,2857,12.0,1,0,5053.0,No
3000,38,26,12,21,16,13,12,9,6,3,2,4,1000,47.0,1,1,127268.0,Yes
1500,24,14,10,10,7,6,6,4,2,2,6,3,750,7.0,1,0,1965.0,No
2000,31,17,14,12,9,7,7,5,2,3,2,3,666,39.0,1,1,29970.0,Yes
500,14,7,7,5,4,3,3,2,2,0,0,4,0,2.0,0,0,0.0,No
12000,88,43,45,37,28,24,21,16,11,5,4,4,2400,20.0,0,0,0.0,No
1000,21,10,11,8,6,5,4,3,2,1,6,5,1000,6.0,1,0,1571.0,No
4000,50,34,16,26,19,16,14,11,6,5,3,6,800,30.0,1,1,20891.0,No
2000,28,17,11,13,10,8,7,5,3,2,3,5,1000,33.0,1,1,25104.0,Yes
4000,44,28,16,21,15,12,11,7,5,2,3,3,2000,28.0,1,0,14112.0,Yes
5000,52,31,21,24,17,13,12,8,5,3,3,4,1666,28.0,1,1,19578.0,Yes
8000,71,44,27,36,27,21,19,14,9,5,4,2,1600,17.0,1,0,6039.0,No
1500,24,14,10,11,8,7,6,5,3,2,6,4,750,8.0,1,1,3787.0,No
500,14,7,7,5,4,3,3,2,2,0,0,3,0,8.0,0,0,0.0,No
1500,26,13,13,10,8,6,5,3,2,1,6,2,1500,6.0,1,0,1376.0,No
10000,80,53,27,43,31,25,23,16,11,5,5,6,2000,7.0,1,0,2248.0,No
10000,73,52,21,39,30,23,21,16,12,4,5,4,2500,9.0,1,0,3403.0,No
4000,42,27,15,19,13,11,10,7,3,4,2,2,1000,43.0,1,1,33367.0,No
4000,47,29,18,24,17,13,12,8,4,4,3,4,1000,28.0,1,0,15539.0,Yes
5000,46,30,16,25,19,16,14,10,6,4,2,6,1250,35.0,1,0,18268.0,No
1500,27,15,12,12,8,7,6,4,2,2,6,6,750,7.0,1,0,1691.0,No
12000,88,50,38,42,32,25,22,18,13,5,5,4,2400,11.0,1,0,4215.0,No
2500,41,26,15,20,15,12,10,7,4,3,2,4,833,35.0,1,1,23207.0,Yes
2500,39,28,11,21,16,13,12,9,6,3,2,5,833,35.0,1,1,26894.0,Yes
3000,38,24,14,18,13,10,9,7,4,3,2,4,1000,33.0,1,0,17091.0,No
800,17,7,10,5,3,3,2,1,0,1,6,0,800,3.0,1,0,808.0,No
1500,27,16,11,12,9,7,7,5,3,2,6,5,750,6.0,1,0,1642.0,No
6000,65,34,31,29,21,16,14,10,7,3,5,3,2000,12.0,1,0,4815.0,Yes
1000,18,8,10,6,4,3,3,2,1,1,6,6,1000,5.0,0,0,0.0,No
4000,41,32,9,25,18,16,14,10,5,5,2,3,800,39.0,1,1,29640.0,Yes
2000,29,16,13,12,9,8,7,5,3,2,2,3,1000,41.0,1,1,30394.0,Yes
2500,36,22,14,18,12,9,8,6,4,2,3,4,1250,28.0,1,1,20894.0,Yes
2000,31,17,14,13,9,7,7,5,3,2,1,5,1000,37.0,1,1,29555.0,Yes
2500,37,25,12,21,15,12,11,8,4,4,3,5,625,32.0,0,0,0.0,No
6000,54,33,21,28,21,17,16,11,7,4,4,4,1500,19.0,1,1,10303.0,Yes
2000,26,15,11,12,9,7,6,4,2,2,2,4,1000,33.0,1,1,23974.0,Yes
4000,48,30,18,25,18,16,14,10,5,5,1,5,800,33.0,1,1,22387.0,Yes
3000,37,27,10,21,16,14,13,9,5,4,2,4,750,36.0,1,1,24256.0,Yes
5000,46,31,15,25,19,16,14,11,7,4,2,3,1250,38.0,1,1,25634.0,Yes
12000,90,52,38,42,31,24,22,15,11,4,5,3,3000,14.0,1,0,3969.0,No
6000,61,36,25,29,21,17,15,10,8,2,4,5,3000,20.0,1,1,11926.0,No
1500,25,15,10,13,9,7,7,4,3,1,7,3,1500,7.0,1,0,1983.0,No
800,17,8,9,6,4,3,3,2,1,1,7,2,800,5.0,1,0,1418.0,No
2000,30,17,13,14,10,8,7,5,3,2,3,4,1000,33.0,1,1,25153.0,Yes
4000,45,28,17,22,16,13,11,8,5,3,3,4,1333,26.0,1,0,13276.0,Yes
800,16,7,9,5,4,3,3,2,1,1,6,5,800,6.0,1,0,1678.0,No
3000,37,26,11,20,15,11,10,7,5,2,3,3,1500,29.0,1,1,23189.0,No
4000,47,31,16,24,18,14,13,10,5,5,2,4,800,38.0,1,1,26830.0,Yes
2000,31,16,15,13,10,8,8,5,3,2,3,5,1000,27.0,1,0,14848.0,No
7000,65,38,27,30,23,19,18,12,8,4,4,3,1750,18.0,1,1,10169.0,No
1000,18,9,9,6,4,3,3,2,1,1,6,4,1000,8.0,1,0,2264.0,No
1000,19,9,10,7,5,4,4,3,2,1,4,2,1000,19.0,1,1,9587.0,Yes
6000,51,31,20,24,17,13,12,9,6,3,5,5,2000,9.0,1,0,3713.0,No
3000,39,26,13,21,16,14,13,10,7,3,3,5,1000,30.0,0,0,0.0,No
5000,57,34,23,29,21,16,15,11,7,4,1,4,1250,33.0,1,0,16103.0,Yes
2500,31,19,12,15,11,8,7,6,4,2,2,3,1250,33.0,1,0,16973.0,No
2000,29,17,12,13,9,7,6,4,2,2,2,5,1000,37.0,1,1,27705.0,Yes
7000,66,38,28,29,21,17,16,12,8,4,4,4,1750,19.0,1,1,10599.0,Yes
7000,69,45,24,39,30,23,20,14,9,5,6,1,1400,5.0,1,0,1783.0,No
5000,51,36,15,30,21,17,15,11,6,5,2,5,1000,41.0,1,1,30033.0,Yes
2000,29,17,12,13,9,8,7,5,3,2,2,5,1000,40.0,1,1,29729.0,Yes
4000,40,30,10,24,18,15,14,9,6,3,2,5,1333,38.0,1,1,28504.0,Yes
2500,35,23,12,18,13,10,9,6,3,3,2,3,833,39.0,1,0,21943.0,No
1000,22,11,11,8,6,5,4,3,1,2,5,2,500,16.0,1,1,7707.0,No
12000,91,47,44,37,26,23,20,15,11,4,5,4,3000,9.0,1,0,3160.0,No
1500,25,16,9,13,9,8,7,5,4,1,7,5,1500,7.0,1,0,1604.0,No
15000,104,65,39,50,38,32,29,22,17,5,4,3,3000,18.0,1,1,10423.0,No
3000,39,26,13,20,15,12,11,7,5,2,2,2,1500,34.0,0,0,0.0,No
1500,24,14,10,11,8,6,6,4,2,2,6,5,750,7.0,1,0,1823.0,No
4000,48,35,13,26,19,14,13,9,6,3,2,4,1333,36.0,1,0,17618.0,No
10000,81,49,32,36,27,21,19,13,10,3,5,5,3333,12.0,1,1,6720.0,No
6000,59,35,24,27,20,17,15,11,7,4,5,4,1500,10.0,1,0,3635.0,No
7000,61,39,22,34,25,20,17,12,9,3,4,4,2333,17.0,1,1,9013.0,No
5000,57,38,19,28,20,16,14,10,6,4,3,4,1250,31.0,1,0,16227.0,No
5000,55,37,18,28,21,18,15,11,6,5,1,4,1000,38.0,1,1,,Yes
8000,67,39,28,28,22,18,15,11,7,4,5,4,2000,14.0,1,0,5685.0,No
2000,32,16,16,12,9,7,6,4,3,1,2,3,2000,31.0,1,0,15403.0,No
3000,37,25,12,18,13,11,10,7,4,3,2,4,1000,41.0,1,0,20747.0,No
2000,29,17,12,13,10,9,8,5,3,2,2,5,1000,35.0,0,0,0.0,No
20000,116,62,54,47,38,31,28,21,15,6,5,3,3333,9.0,1,0,3444.0,No
12000,80,48,32,35,25,21,19,13,8,5,5,6,2400,15.0,1,0,4628.0,No
800,18,8,10,6,4,3,3,2,1,1,6,4,800,5.0,1,0,1516.0,No
5000,47,29,18,24,17,14,12,8,4,4,2,4,1250,35.0,1,1,26080.0,No
12000,83,45,38,36,28,23,20,14,10,4,4,5,3000,18.0,1,0,7041.0,Yes
1500,22,12,10,9,6,5,5,3,2,1,7,5,1500,9.0,1,0,2165.0,No
4000,46,32,14,25,18,15,14,9,5,4,3,4,1000,25.0,0,0,0.0,No
12000,88,45,43,37,30,24,21,15,12,3,5,5,4000,14.0,1,1,8569.0,No
800,17,9,8,7,5,4,4,2,2,0,0,5,0,11.0,0,0,0.0,No
5000,49,37,12,30,22,19,18,13,9,4,2,4,1250,31.0,1,0,16582.0,Yes
2000,28,16,12,12,9,7,6,4,3,1,2,4,2000,33.0,1,0,16631.0,No
12000,92,55,37,41,31,26,23,16,11,5,5,3,2400,10.0,1,0,3644.0,No
15000,99,50,49,38,31,25,22,16,12,4,5,4,3750,13.0,1,1,6518.0,No
12000,91,53,38,40,29,24,21,16,12,4,4,4,3000,16.0,1,0,6012.0,No
3000,36,25,11,20,14,12,10,7,4,3,3,3,1000,27.0,1,1,19906.0,Yes
10000,81,53,28,45,34,29,26,18,13,5,4,4,2000,17.0,1,0,6673.0,No
8000,75,46,29,37,26,23,20,14,10,4,5,4,2000,13.0,1,0,4734.0,No
2000,31,14,17,11,8,7,6,4,2,2,2,4,1000,34.0,1,0,18218.0,No
8000,68,40,28,32,25,20,18,12,8,4,4,3,2000,17.0,1,1,10177.0,Yes
800,17,8,9,6,4,4,3,2,1,1,8,3,800,4.0,1,0,983.0,No
4000,45,28,17,22,16,13,12,8,4,4,2,5,1000,32.0,1,1,23741.0,Yes
2000,30,17,13,13,9,7,6,4,3,1,1,3,2000,32.0,1,1,24557.0,Yes
1000,19,9,10,7,5,4,4,3,2,1,7,5,1000,10.0,1,0,2339.0,No
1000,19,8,11,6,5,4,4,2,1,1,6,3,1000,11.0,1,0,3119.0,No
5000,53,33,20,26,20,15,14,10,6,4,2,4,1250,31.0,1,1,22057.0,Yes
2000,28,15,13,11,8,6,5,4,3,1,2,5,2000,34.0,1,0,15638.0,No
6000,55,36,19,27,18,15,14,9,6,3,4,1,2000,20.0,1,1,10811.0,Yes
800,16,7,9,5,4,3,3,2,2,0,0,5,0,5.0,0,0,0.0,No
2000,27,15,12,11,9,7,6,4,1,3,2,5,666,34.0,1,0,19149.0,Yes
3000,36,23,13,18,12,10,9,6,3,3,3,4,1000,22.0,1,1,15591.0,Yes
7000,65,41,24,32,25,21,19,13,9,4,5,4,1750,16.0,1,1,9535.0,Yes
2000,28,16,12,12,9,7,7,5,3,2,3,3,1000,25.0,1,1,19505.0,Yes
4000,47,26,21,21,16,13,12,10,6,4,2,4,1000,34.0,1,1,26010.0,Yes
10000,80,52,28,42,33,27,23,17,12,5,4,6,2000,14.0,1,0,4698.0,No
4000,40,29,11,23,17,14,13,9,6,3,2,2,1333,33.0,1,1,23503.0,Yes
2000,31,16,15,13,10,8,7,5,3,2,2,3,1000,35.0,1,0,17088.0,No
500,13,5,8,3,2,2,2,1,1,0,0,5,0,1.0,0,0,0.0,No
10000,75,45,30,36,27,21,20,13,9,4,4,5,2500,17.0,1,0,7130.0,Yes
500,13,6,7,4,3,2,2,1,0,1,6,0,500,7.0,1,0,1564.0,No
10000,76,47,29,37,28,23,21,17,13,4,4,3,2500,19.0,1,0,8068.0,No
3000,39,23,16,18,13,11,10,7,4,3,2,3,1000,35.0,1,1,25480.0,Yes
12000,82,41,41,33,24,19,16,12,8,4,5,3,3000,13.0,0,0,0.0,No
7000,57,38,19,30,23,18,16,11,7,4,5,4,1750,9.0,1,0,3473.0,No
20000,119,61,58,48,35,29,25,18,12,6,5,3,3333,12.0,1,0,4499.0,No
2500,34,24,10,19,13,11,10,8,4,4,2,4,625,34.0,1,1,26936.0,Yes
6000,57,36,21,28,21,16,15,11,7,4,5,3,1500,13.0,1,1,6992.0,No
2500,32,19,13,14,10,8,7,5,3,2,2,4,1250,44.0,1,1,33620.0,No
3000,38,26,12,21,16,13,12,10,6,4,3,3,750,28.0,1,1,20994.0,Yes
4000,47,31,16,24,18,17,15,11,6,5,2,4,800,35.0,1,0,19446.0,No
10000,80,48,32,40,28,24,22,15,11,4,4,3,2500,19.0,1,0,7992.0,No
20000,123,68,55,53,40,34,30,23,17,6,6,5,3333,5.0,1,0,1826.0,No
6000,56,35,21,29,24,19,17,11,7,4,5,4,1500,17.0,1,1,9737.0,No
2500,37,26,11,21,15,12,11,7,3,4,3,4,625,26.0,1,1,19196.0,Yes
2500,32,23,9,18,13,11,10,8,5,3,2,4,833,37.0,1,1,25265.0,Yes
6000,60,38,22,30,24,19,18,13,10,3,5,4,2000,13.0,1,1,7994.0,No
2000,32,16,16,13,9,7,6,4,1,3,2,4,666,36.0,1,1,26613.0,No
1000,20,9,11,7,5,4,4,3,2,1,6,5,1000,7.0,1,1,3309.0,No
2500,34,27,7,20,15,13,11,8,4,4,2,4,625,35.0,1,1,27506.0,Yes
2000,29,17,12,13,10,8,7,5,3,2,3,3,1000,24.0,1,1,16239.0,No
2000,32,21,11,17,13,11,9,7,4,3,2,4,666,36.0,1,1,27481.0,Yes
2000,27,17,10,13,10,9,8,5,3,2,2,3,1000,35.0,1,1,27119.0,Yes
800,16,8,8,6,4,3,3,2,2,0,0,4,0,1.0,0,0,0.0,No
500,13,6,7,4,3,2,2,1,0,1,5,0,500,14.0,1,0,3270.0,No
20000,130,71,59,58,43,35,32,22,15,7,5,5,2857,14.0,1,0,5593.0,No
2500,35,21,14,17,13,10,9,7,4,3,2,3,833,36.0,1,1,26983.0,Yes
2500,32,21,11,17,13,10,9,7,4,3,2,5,833,34.0,1,0,18295.0,No
5000,52,37,15,30,21,17,15,10,6,4,2,4,1250,36.0,1,1,25028.0,Yes
1500,24,13,11,10,7,6,5,4,3,1,7,5,1500,5.0,1,0,1235.0,No
12000,85,48,37,40,28,23,20,14,11,3,5,3,4000,10.0,1,0,3400.0,No
7000,68,44,24,36,26,22,19,13,9,4,4,2,1750,19.0,1,1,9885.0,Yes
1000,18,8,10,6,4,3,3,2,1,1,6,2,1000,7.0,1,1,3730.0,No
2500,38,25,13,20,15,14,12,10,6,4,2,7,625,33.0,1,0,16506.0,Yes
10000,84,48,36,38,29,23,21,15,11,4,4,3,2500,15.0,1,0,4334.0,No
12000,95,49,46,37,28,24,21,14,11,3,5,5,4000,11.0,1,0,4028.0,No
3000,37,23,14,17,14,11,10,7,4,3,3,3,1000,27.0,1,0,13569.0,Yes
4000,45,28,17,22,16,13,11,7,4,3,2,4,1333,31.0,1,0,15326.0,No
1500,23,14,9,11,8,7,7,5,3,2,7,4,750,4.0,1,0,1036.0,No
20000,117,60,57,49,35,29,26,19,13,6,4,7,3333,19.0,1,0,5693.0,Yes
2000,31,18,13,14,10,8,8,6,3,3,2,4,666,31.0,1,0,15900.0,No
12000,96,50,46,40,29,24,22,16,9,7,5,3,1714,10.0,1,1,5427.0,Yes
5000,49,35,14,28,20,17,15,10,5,5,2,4,1000,35.0,1,0,18781.0,Yes
4000,45,32,13,26,20,15,13,9,5,4,2,3,1000,37.0,1,1,29111.0,Yes
3000,38,27,11,22,15,11,10,7,4,3,3,4,1000,31.0,1,0,15233.0,No
2000,28,16,12,12,9,8,7,5,2,3,2,4,666,36.0,1,1,26485.0,No
1500,26,14,12,11,8,6,6,4,2,2,6,3,750,7.0,1,0,1668.0,No
2000,29,15,14,11,8,7,6,4,3,1,2,4,2000,31.0,1,0,15297.0,Yes
1500,25,16,9,13,10,8,7,5,3,2,6,4,750,6.0,1,0,1722.0,No
7000,63,37,26,29,21,18,17,13,10,3,4,5,2333,15.0,1,0,5887.0,No
2500,33,23,10,19,14,11,10,7,4,3,1,6,833,38.0,1,1,25485.0,Yes
800,17,9,8,7,5,4,4,3,2,1,4,3,800,18.0,1,1,7965.0,Yes
15000,101,53,48,42,34,28,24,17,12,5,6,4,3000,1.0,1,0,311.0,No
10000,78,51,27,40,32,27,24,17,12,5,5,3,2000,14.0,1,0,5427.0,No
12000,85,49,36,37,26,21,19,15,11,4,5,5,3000,10.0,1,0,3720.0,No
20000,124,76,48,60,46,40,35,26,17,9,5,3,2222,11.0,1,0,3824.0,No
1500,28,15,13,12,9,7,7,5,4,1,5,4,1500,13.0,1,1,6104.0,No
2500,35,21,14,17,12,10,9,6,4,2,2,5,1250,37.0,1,1,26774.0,Yes
6000,62,37,25,28,22,18,15,11,8,3,5,3,2000,11.0,1,0,4486.0,No
5000,48,33,15,25,19,16,13,10,6,4,3,4,1250,30.0,1,1,22732.0,Yes
1500,25,14,11,11,8,6,6,4,3,1,8,5,1500,4.0,0,0,0.0,No
7000,60,36,24,28,19,15,13,10,8,2,5,5,3500,10.0,0,0,0.0,No
2000,27,13,14,10,7,5,4,3,1,2,3,5,1000,20.0,1,0,10716.0,Yes
2000,29,17,12,12,9,8,7,5,4,1,3,4,2000,26.0,1,0,13965.0,No
3000,41,31,10,26,19,16,14,10,5,5,2,3,600,36.0,1,1,28062.0,No
4000,49,34,15,26,20,16,15,11,6,5,2,3,800,34.0,1,1,23535.0,Yes
4000,47,33,14,25,17,14,12,10,6,4,3,3,1000,27.0,1,0,14779.0,No
1000,18,9,9,7,5,4,4,3,1,2,5,5,500,10.0,1,1,4513.0,No
10000,79,50,29,41,29,25,23,15,11,4,4,4,2500,20.0,1,0,6443.0,No
2000,31,19,12,15,11,9,8,5,3,2,2,3,1000,31.0,1,1,24587.0,Yes
1000,20,10,10,8,6,5,4,2,1,1,6,4,1000,7.0,1,0,1637.0,No
10000,71,43,28,35,24,19,17,11,7,4,5,4,2500,12.0,1,0,4152.0,No
15000,97,50,47,39,29,23,20,15,9,6,4,4,2500,14.0,1,0,5041.0,No
